id,chat_match,delay,type,sender,text,next,options,timeout,default_next,tag,thresholds,require_tag,trigger_time
sc_7,*,0,message,郑文静(数学老师),按校历，中小学幼儿园开学在即，恰逢近期天气阴晴多变，我们同市交警部门共同提醒：,sc_8,,,家校沟通,,,,
sc_8,*,0,message,郑文静(数学老师),"学生的交通安全连着千家万户，事关每个家庭的幸福安康。各校要结合学校安全管理工作，常态化开展学生交通安全主题宣传活动，强化对广大师生的交通安全警示教育；要线上线下结合，加强家校联系和互动，督促学生监护人加强对子女安全监管，严禁学生""飙车、翘头、炫技""、超员载人、超龄驾驶、不戴安全头盔等交通违法行为发生。[抱拳][抱拳]",sc_9,,,家校沟通,,,,
sc_9,*,0,message,系统,── 以上是近期历史消息 ──,sc_10,,,家校沟通,,,,
sc_10,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,sc_11,,,家校沟通,,,,
sc_11,*,0,message,家长A(张三妈妈),老师，我家孩子最近回家说学校食堂的饭菜不太好，能不能反映一下？,sc_12,,,家校沟通,,,,
sc_12,*,0,message,家长B(李四爸爸),@张三妈妈 我们家孩子也说食堂排队时间太长了，希望能改善一下,sc_13,,,家校沟通,,,,
sc_13,*,0,message,家长C(王五妈妈),老师，我家孩子这周有几次没按时回家，说是留校补作业了，请问是真的吗？,sc_choice1,,,家校沟通,,,,
sc_choice1,*,0,choice,系统,有家长在群里提问，需要回复：,sc_reply1,稍后回复>ignore_parent1;现在回复>sc_reply1,10,ignore_parent1,情绪管理|家校沟通,,,
sc_reply1,*,0,message,系统,请输入你的回复：,sc_reply_input1,,,情绪管理,,,,
sc_reply_input1,*,0,wait_input,,,sc_reply_done1,,,,情绪管理,,,
sc_reply_done1,*,0.5,typing,系统,,,,,情绪管理,,,,
sc_reply_done2,*,1,message,系统,✓ 已回复家长,check_teacher_group,,,情绪管理,,,,
ignore_parent1,*,0,message,系统,你选择暂时不回复...但家长的问题可能越积越多！,check_teacher_group,,,家校沟通,,,,
,,,,,,,,,,,,,
,,,,,【8:02 - 学校通知群】,上级压力,,,,,,,
,,,,,,,,,,,,,
check_teacher_group,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,sn_1_require,,,时间压力,,,,
sn_1_require,*,0,message,张建国,@所有人 请班主任加强学生仪容仪表及入校纪律宣传教育，近期发现不少学生（包括三年级返校集训学生）校服着装不合规，仪容仪表不合格，迟到现象严重。如被发现，将记入班级考核。政教处3.18@所有人,sn_2,,,上级压力|时间压力,,,,
sn_2,*,0,message,系统,💡 仪容仪表和纪律问题...学生们是否也需要知道？,sn_choice1,,,上级压力,,,,
sn_choice1,*,0,choice,系统,请选择你的行动：,sn_forward1,先处理其他事情>sn_delay1;立即转发到班群>sn_forward1,10,sn_delay1,信息筛选|上级压力,,,
sn_delay1,*,0,message,系统,你选择暂时延后...但班级考核可能会受影响！,sn_3,,,上级压力,,,,
sn_forward1,*,0,message,系统,请在【学生班群】中转发此通知：,sn_forward_input1,,,信息筛选,,,,
sn_forward_input1,*,0,wait_input,,,sn_forward_done1,,,,信息筛选,,,
sn_forward_done1,*,0.5,typing,系统,,,,,信息筛选,,,,
sn_forward_done2,*,1.5,message,系统,✓ 已成功转发到【学生班群】！,sn_3,,,信息筛选,,,,
sn_3,*,0,message,刘志强,25级智能技术应用班、25级新能源汽车技术班、25级汽修1班、25级汽修2班、24级智能制造班，以上几个班级有部分新书到图书馆，请班主任安排学生去领取，并点清数量。,sn_4,,,上级压力,,,,
sn_4,*,0,message,刘志强,请相关班主任在今明两天内安排时间领取，逾期不候。,sn_5,,,上级压力,,,,
sn_5,*,0,message,系统,💡 看了一下班级列表...好像跟你们班没关系,sn_6,,,信息筛选,,,,
sn_6,*,0,message,陈思雨,[文件],sn_7,,,上级压力,,,,
sn_7,*,0,message,陈思雨,以下为本学期心理普查未测名单（含用时过短的无效问卷，需重测），请班主任通知学生务必在今明两日内完成，并提交已完成截图。,sn_8,,,上级压力,,,,
sn_8,*,0,message,陈思雨,若名单中的学生已休学/退学，烦请与我或林晓雯老师联系删除。,sn_9,,,上级压力,,,,
sn_9,*,0,message,陈思雨,心理测评入口: http://mis.xhhighschool.com:8081/fjpsy/login.aspx,sn_10,,,上级压力,,,,
sn_10,*,0,message,陈思雨,账号为身份证号，密码123456,sn_11,,,上级压力,,,,
sn_11,*,0,message,陈思雨,*港澳生账号为其通行证号码，注意英文输入。,sn_12,,,上级压力,,,,
sn_12,*,0,message,系统,💡 心理测评需要学生配合完成，截止日期很紧...,sn_choice2,,,上级压力,,,,
sn_choice2,*,0,choice,系统,请选择你的行动：,sn_forward2,稍后处理>sn_delay2;立即转发到班群>sn_forward2,10,sn_delay2,信息筛选|效率至上,,,
sn_delay2,*,0,message,系统,你选择稍后处理...但心理普查截止时间是今明两天！,check_student_group,,,上级压力,,,,
sn_forward2,*,0,message,系统,请在【学生班群】中转发此通知：,sn_forward_input2,,,信息筛选,,,,
sn_forward_input2,*,0,wait_input,,,sn_psych_fwd_done1,,,,信息筛选,,,
sn_psych_fwd_done1,*,0.5,typing,系统,,sn_psych_fwd_done2,,,,信息筛选,,,
sn_psych_fwd_done2,*,1.5,message,系统,✓ 已成功转发到【学生班群】！,check_student_group,,,,效率至上,,,
,,,,,,,,,,,,,
,,,,,【8:03 - 学生班群】,学生管理,,,,,,,
,,,,,,,,,,,,,
check_student_group,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,tc_1_require,,,时间压力,,,,
tc_1_require,*,0,message,学生A(班长),@所有人 今天下午第二节课后全班到操场集合，班主任说要交代事情,tc_2,,,学生管理,,,,
tc_2,*,0,message,学生B(学习委员),收到！,tc_3,,,学生管理,,,,
tc_3,*,0,message,学生C(体育委员),@班长 是要讲运动会的事情吗？,tc_4,,,学生管理,,,,
tc_4,*,0,message,学生D(普通学生1),老师，我们什么时候能发新课本啊？有些课还没书呢,tc_5,,,学生管理,,,,
tc_5,*,0,message,学生E(普通学生2),对啊，数学课老师说下周要用新书了,tc_6,,,学生管理,,,,
tc_6,*,0,message,学生F(普通学生3),@所有人 大家有没有注意到最近食堂的饭菜好像改进了，昨天有红烧肉呢！,tc_7,,,学生管理,,,,
tc_7,*,0,message,学生G(普通学生4),真的假的？我去看看,tc_8,,,学生管理,,,,
tc_8,*,0,message,系统,💡 群里比较热闹，哪些需要班主任亲自回应？,tc_9,,,学生管理,,,,
tc_9,*,0,message,学生H(普通学生5),老师，我身份证丢了怎么办？在线等挺急的,tc_choice1,,,学生管理|家校沟通,,,,
tc_choice1,*,0,choice,系统,有学生问身份证丢失的问题，需要回复：,tc_reply1,稍后回复>tc_ignore1;现在回复>tc_reply1,10,tc_ignore1,情绪管理|学生管理,,,
tc_reply1,*,0,message,系统,请输入你的回复：,tc_reply_input1,,,情绪管理,,,,
tc_reply_input1,*,0,wait_input,,,tc_reply_done1,,,,情绪管理,,,
tc_reply_done1,*,0.5,typing,系统,,,,,情绪管理,,,,
tc_reply_done2,*,1,message,系统,✓ 已回复学生，告知补办流程,tc_10,,,情绪管理,,,,
tc_ignore1,*,0,message,系统,你选择暂时不回复...但学生可能很着急！,tc_10,,,学生管理,,,,
tc_10,*,0,message,学生I(普通学生6),@所有人 那个心理普查怎么做的？链接打不开啊,tc_11,,,学生管理,,,,
tc_11,*,0,message,学生J(普通学生7),我也要做心理普查？在哪里做？,tc_12,,,学生管理,,,,
tc_12,*,0,message,系统,【系统提示】有学生在问心理普查的问题，需要解答,tc_choice2,,,学生管理,,,,
tc_choice2,*,0,choice,系统,需要回复学生关于心理普查的问题：,tc_reply2,统一解答>tc_reply_all;单独回复>tc_reply2,10,tc_ignore2,情绪管理|效率至上,,,
tc_reply2,*,0,message,系统,请输入你的回复：,tc_reply_input2,,,情绪管理,,,,
tc_reply_input2,*,0,wait_input,,,tc_psych_done1,,,,情绪管理,,,
tc_psych_done1,*,0.5,typing,系统,,tc_psych_done2,,,,情绪管理,,,
tc_psych_done2,*,1,message,系统,✓ 已单独回复学生,tc_13,,,,情绪管理,,,
tc_reply_all,*,0,message,系统,请输入统一解答内容：,tc_reply_input3,,,效率至上,,,,
tc_reply_input3,*,0,wait_input,,,tc_all_done1,,,,效率至上,,,
tc_all_done1,*,0.5,typing,系统,,tc_all_done2,,,,效率至上,,,
tc_all_done2,*,1.5,message,系统,✓ 已在群里统一解答，效率很高！,tc_13,,,,效率至上,,,
tc_ignore2,*,0,message,系统,你选择不回复...但学生的问题没有得到解决,tc_13,,,学生管理,,,,
tc_13,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,event_8_04_require,,,时间压力,,,,
,,,,,,,,,,,,,
,,,,,【8:04 - 突发事件】,危机处理,,,,,,,
,,,,,,,,,,,,,
event_8_04_require,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,crisis_1,,,时间压力,,,,
crisis_1,*,0,message,系统,⚠️ 紧急通知 ⚠️,crisis_2,,,危机处理,,,,
crisis_2,*,0,message,系统,【学校通知群】新消息！,crisis_3,,,危机处理,,,,
crisis_3,*,0,message,孙浩然,@所有人 通知 请各位班主任通知本班同学，文化广场施工🚧，务必绕行，远离施工区域，切不可穿越围挡，注意安全。区域如下图。[图片][图片][图片][图片],crisis_4,,,危机处理|上级压力,,,,
crisis_4,*,0,message,系统,⚠️ 安全通知！学生们还不知道施工区域的事...,crisis_choice1,,,危机处理,,,,
crisis_choice1,*,0,choice,系统,请选择你的行动：,crisis_forward,先看看再说>crisis_delay;立即转发到班群>crisis_forward,8,crisis_delay,信息筛选|效率至上|危机处理,,,
crisis_delay,*,0,message,系统,⚠️ 你选择延后处理...学生安全至关重要！,crisis_5,,,危机处理,,,,
crisis_forward,*,0,message,系统,请在【学生班群】中紧急转发此通知：,crisis_input1,,,信息筛选,,,,
crisis_input1,*,0,wait_input,,,crisis_done1,,,,信息筛选,,,
crisis_done1,*,0.3,typing,系统,,,,,信息筛选,,,,
crisis_done2,*,1,message,系统,✓ 已紧急转发到【学生班群】！,crisis_5,,,,效率至上|危机处理,,,
crisis_5,*,0,message,系统,【学生家长群】新消息！,crisis_6,,,家校沟通,,,,
crisis_6,*,0,message,家长D(赵六妈妈),老师您好，我家孩子今天早上说肚子不舒服，想请假半天，可以吗？,crisis_7,,,家校沟通,,,,
crisis_7,*,0,message,系统,有家长请假，需要处理,crisis_choice2,,,家校沟通|情绪管理,,,,
crisis_choice2,*,0,choice,系统,请选择你的行动：,crisis_approve,稍后处理>crisis_delay2;立即批准请假>crisis_approve,10,crisis_delay2,情绪管理|家校沟通,,,
crisis_delay2,*,0,message,系统,你选择稍后处理...家长可能还在等回复,crisis_8,,,家校沟通,,,,
crisis_approve,*,0,message,系统,请输入请假批准回复：,crisis_input2,,,情绪管理,,,,
crisis_input2,*,0,wait_input,,,crisis_done3,,,,情绪管理,,,
crisis_done3,*,0.5,typing,系统,,,,,情绪管理,,,,
crisis_done4,*,1,message,系统,✓ 已批准请假并告知注意事项,crisis_8,,,情绪管理,,,,
crisis_8,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,event_8_05_require,,,时间压力,,,,
,,,,,,,,,,,,,
,,,,,【8:05 - 信息洪流】,压力测试,,,,,,,
,,,,,,,,,,,,,
event_8_05_require,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,flood_1,,,信息洪流,,,,
flood_1,*,0,message,系统,【班主任通知群】+5条新消息！,flood_2,,,信息洪流,,,,
flood_2,*,0,message,周明霞,@所有人 请各位班主任于本周内到总务处领取班级资产明细表，核对无误后签字。（周五下午下班前）上交。总务处 2026.3.17,flood_3,,,上级压力,,,,
flood_3,*,0,message,李雪梅,@所有人 通知 请班级有住宿学生的班主任（不包括集训返校住宿学生）安排学生到综合实训楼安全保卫处领取《星海市理工职业学校住宿生管理告家长书》纸质材料，要求如下： 1.领取时间：3月18日-20日，上午8:00-11:30，下午14:30-17:30；2.领取地点：综合实训楼安全保卫处；3.发放要求：务必发放到每一位住宿生手中，并要求家长签字后回收回执；4.截止时间：3月20日下午17:00前将回执提交到安全保卫处。,flood_4,,,上级压力,,,,
flood_4,*,0,message,李雪梅,"[表单]2026年3月18日""住宿生告家长书""图片转发截图收集",flood_5,,,上级压力,,,,
flood_5,*,0,message,张建国,[文件],flood_6,,,上级压力,,,,
flood_6,*,0,message,张建国,"有关学生心理筛查，昨天晚上有部分已补完成，现在仍有以下同学没完成或完成无效，请班主任想办法让同学利用中午时间段完成一下，以便数据汇总分析。对""特殊学生""（例如上学期已在预警名单的），要注意方式方法，不要强制。休学退学的不用做。政教处3.20@所有人",flood_7,,,上级压力,,,,
flood_7,*,0,message,王春华,通 知 学校定于明天（3月24日）下午16:20在学术报告厅二楼举行2026年学考动员大会，请2024级中职班全体学生准时参加（五年专班级不参加）。请各位班主任组织到位，通知本班学生，并提醒以下事项：1.16:20前入场完毕，按指定位置就坐（稍后由团委发群里）；2.保持会场秩序；3.请带好笔，现场需填写加油卡。教务处 2026.03.23,flood_8,,,上级压力,,,,
flood_8,*,0,message,系统,💡 5条新消息涌入！时间不多了，哪些是你必须处理的？,flood_choice1,,,信息筛选|压力测试,,,,
flood_choice1,*,0,choice,系统,面对5条新消息，你选择：,flood_quick,逐条仔细处理>flood_slow;快速筛选转发>flood_quick,10,flood_slow,效率至上|信息筛选,,,
flood_slow,*,0,message,系统,你选择逐条处理...但时间紧迫，可能来不及！,flood_9,,,信息筛选,,,,
flood_quick,*,0,message,系统,请判断哪些通知需要转发到【学生家长群】：,flood_input1,,,效率至上,,,,
flood_input1,*,0,wait_input,,,flood_done1,,,,效率至上,,,
flood_done1,*,0.5,typing,系统,,,,,效率至上,,,,
flood_done2,*,1.5,message,系统,✓ 已快速识别并转发关键通知到【学生家长群】！,flood_9,,,,效率至上,,,
flood_9,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,event_8_06_require,,,时间压力,,,,
,,,,,,,,,,,,,
,,,,,【8:06 - 交流群】,同事互动,,,,,,,
,,,,,,,,,,,,,
event_8_06_require,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,chat_1,,,时间压力,,,,
chat_1,*,0,message,吴建军,[图片],chat_2,,,同事互动,,,,
chat_2,*,0,message,吴建军,艺术楼二楼洗手池堵住了，三个水龙头有两个是坏的。旁边烧开水的一直都是不能用的状态。,chat_3,,,同事互动,,,,
chat_3,*,0,message,马海涛,已安排维修，麻烦辛苦走一下钉钉报修流程,chat_4,,,同事互动,,,,
chat_4,*,0,message,马海涛,饮水机电路板损坏，正在调货，到货会第一时间安排维修,chat_5,,,同事互动,,,,
chat_5,*,0,message,黄志远,最近几天艺术楼四楼、五楼上课和下课没有铃声,chat_6,,,同事互动,,,,
chat_6,*,0,message,林晓雯,收到收到,chat_7,,,同事互动,,,,
chat_7,*,0,message,林晓雯,据回复：艺术楼有一台交换机出故障，可能后面会没有铃声，现在还在调整。,chat_8,,,同事互动,,,,
chat_8,*,0,message,系统,💡 这些是日常维修讨论，看看就好...还是需要跟进？,chat_9,,,信息筛选,,,,
chat_9,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,event_8_07_require,,,时间压力,,,,
,,,,,,,,,,,,,
,,,,,【8:07 - 新的挑战】,多任务处理,,,,,,,
,,,,,,,,,,,,,
event_8_07_require,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,multi_1,,,时间压力,,,,
multi_1,*,0,message,系统,【学生家长群】+3条新消息！,multi_2,,,多任务处理,,,,
multi_2,*,0,message,家长E(孙七妈妈),老师，我家孩子最近放学回家比较晚，是不是在学校留堂了？,multi_3,,,家校沟通,,,,
multi_3,*,0,message,家长F(周八爸爸),@所有人 请问下个月的学费什么时候交？,multi_4,,,家校沟通,,,,
multi_4,*,0,message,家长G(吴九妈妈),老师，我家孩子说这个周末有作业，是真的吗？,multi_5,,,家校沟通,,,,
multi_5,*,0,message,系统,【学生班群】+2条新消息！,multi_6,,,多任务处理,,,,
multi_6,*,0,message,学生K(普通学生8),@所有人 老师，心理普查的链接还是打不开怎么办？,multi_7,,,学生管理,,,,
multi_7,*,0,message,学生L(班长),@所有人 心理普查截图交到哪里啊？,multi_8,,,学生管理,,,,
multi_8,*,0,message,系统,【班主任通知群】+1条新消息！,multi_9,,,多任务处理,,,,
multi_9,*,0,message,赵小兰,@所有人 本学期助学金的资助工作将于下周开始，关于助学金《致家长的一封信》已通过钉钉平台发给家长的，请确保每个家长(包括23级、24级、25级)都要签回执！截止时间为2026年3月29日（本周日）。,multi_10,,,上级压力,,,,
multi_10,*,0,message,赵小兰,@所有人 温馨提示：全班家长都要签字回执哦！不是只有申请助学金的家长签字，教育局要求每一位家长都要知晓此事，并签字回执！[握手],multi_choice1,,,上级压力|多任务处理,,,,
multi_choice1,*,0,choice,系统,同时有6条消息需要处理，你选择：,multi_priority,全部回复>multi_all;优先处理重要通知>multi_priority,10,multi_all,情绪管理|信息筛选,,,
multi_all,*,0,message,系统,你选择全部回复...但这样会耗费大量时间！,multi_11,,,情绪管理,,,,
multi_priority,*,0,message,系统,请优先处理【助学金通知】，需要转发到【学生家长群】：,multi_input1,,,信息筛选,,,,
multi_input1,*,0,wait_input,,,multi_done1,,,,信息筛选,,,
multi_done1,*,0.5,typing,系统,,,,,信息筛选,,,,
multi_done2,*,1.5,message,系统,✓ 已优先转发重要通知到【学生家长群】！,multi_11,,,,效率至上|信息筛选,,,
multi_11,*,0,message,系统,其他消息可以稍后处理,final_event_require,,,时间压力,,,,
,,,,,,,,,,,,,
,,,,,【8:08 - 8:10 最后冲刺】,总结评价,,,,,,,
,,,,,,,,,,,,,
final_event_require,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,final_1,,,时间压力,,,,
final_1,*,0,message,系统,【班主任通知群】最后一条消息！,final_2,,,时间压力,,,,
final_2,*,0,message,张建国,[图片]请各班主任转发本班级，是否有特长、有热情的学生愿意参加星海市中小学生民族管弦乐团2026年纳新选拔。3月27日下午下班前由班主任推荐给郭振华老师。政教处3.26@所有人,final_3,,,上级压力,,,,
final_3,*,0,message,系统,💡 乐团纳新...有兴趣的学生可能想知道？,final_choice1,,,信息筛选,,,,
final_choice1,*,0,choice,系统,是否转发此通知？,final_forward,不转发>final_skip;转发>final_forward,10,final_skip,信息筛选,,,
final_skip,*,0,message,系统,你选择不转发...这也是可以的,final_4,,,信息筛选,,,,
final_forward,*,0,message,系统,请在【学生班群】中转发此通知：,final_input1,,,信息筛选,,,,
final_input1,*,0,wait_input,,,final_done1,,,,信息筛选,,,
final_done1,*,0.5,typing,系统,,,,,信息筛选,,,,
final_done2,*,1.5,message,系统,✓ 已转发到【学生班群】！,final_4,,,信息筛选,,,,
final_4,*,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,final_5,,,时间压力,,,,
final_5,*,0,message,系统,═══════════════════════════════════════,final_6,,,,,,,
